Model,Handicap,Open,18,15,Std,Club,Double
EB 29R,126,x,,,,,
EB 29 (900 kg),125,,,,,,
EB 29DR,125,x,,,,,
JS5,125,x,,,,,
AS 35 Mi 20m,124,x,,,,,
EB 29 (850 kg),124,x,,,,,
JS1C 21m,124,x,,,,,
JS1C TJ 21m,124,x,,,,,
JS2 21m,124,x,,,,,
Antares 23E,123,x,,,,,
Antares 23T,123,x,,,,,
EB 29D (850 kg),123,x,,,,,
Nixus,123,x,,,,,
Quintus,123,x,,,,,
ASH 31 Mi 21m,122,x,,,,,
EB 28,122,x,,,,,
EB 28 edition,122,x,,,,,
NimEta X,122,x,,,,,
Antares 20E/21,121,x,,,,,
Antares 21E,121,x,,,,,
ASH 30 Mi,121,x,,,,,
ASW 22 BLE (850 kg),121,x,,,,,
Eta,121,x,,,,,
Nimbus 4M (850 kg),121,x,,,,,
Nimbus 4T (850 kg),121,x,,,,,
Antares 20E,120,x,,,,,
AS 33 18m,120,x,x,,,,
AS 33 Es 18m,120,x,x,,,,
AS 33 Me 18m,120,x,x,,,,
ASH 25 EB 28,120,x,,,,,
ASW 22 BLE (810 kg),120,x,,,,,
Diana-3,120,x,x,,,,
JS3 18m,120,x,x,,,,
JS3 RES 18m,120,x,x,,,,
JS3 TJ 18m,120,x,x,,,,
LAK-17B 21m,120,x,,,,,
LAK-17B T 21m,120,x,,,,,
Nimbus 4M (800 kg),120,x,,,,,
Nimbus 4T (800 kg),120,x,,,,,
Ventus 3 Sport 18m,120,x,x,,,,
Ventus 3E Sport 18m,120,x,x,,,,
Ventus 3T Sport 18m,120,x,x,,,,
AS 35 Mi 18m,119,x,x,,,,
ASG 29 18m,119,x,x,,,,
ASG 29 E 18m,119,x,x,,,,
ASG 29 Es 18m,119,x,x,,,,
ASG 29 RES 18m,119,x,x,,,,
ASH 25 M >= 26m,119,x,,,,,
ASH 25 Mi >= 26m (790 kg),119,x,,,,,
ASW 22 BE (810 kg),119,x,,,,,
ASW 22 BL (750 kg),119,x,,,,,
Diana-3 FES,119,x,x,,,,
JS1 18m,119,x,x,,,,
JS1 TJ 18m,119,x,x,,,,
JS2 18m,119,x,x,,,,
LAK-17B FES 21m,119,x,,,,,
LAK-17C FES 21m,119,x,,,,,
Nimbus 4 (750 kg),119,x,,,,,
Nimbus 4DM (820 kg),119,x,,,,,
Nimbus 4DT (800 kg),119,x,,,,,
Ventus 3E Performance 18m,119,x,x,,,,
Ventus 3F Sport 18m,119,x,x,,,,
Ventus 3M 18m,119,x,x,,,,
Ventus 3T Performance 18m,119,x,x,,,,
Arcus (all variants 850 kg),118,x,,,,,
ASG32 (all variants 850 kg),118,x,,,,,
ASH 25 >= 26m (750 kg),118,x,,,,,
ASH 25 E >= 26m (750 kg),118,x,,,,,
ASH 31 Mi 18m,118,x,x,,,,
ASW 22 B (750 kg),118,x,,,,,
LAK-20M 26m,118,x,,,,,
LAK-20T 26m,118,x,,,,,
Nimbus 3 25.5m,118,x,,,,,
Nimbus 3M 25.5m,118,x,,,,,
Nimbus 3T 25.5m,118,x,,,,,
Nimbus 4D (750 kg),118,x,,,,,
Ventus 2 cxa,118,x,x,,,,
Ventus 2cxa 18m,118,x,x,,,,
Antares 18S,117,x,x,,,,
Antares 18T,117,x,x,,,,
Arcus E (800 kg),117,x,,,,,x
Arcus J (800 kg),117,x,,,,,x
Arcus M (800 kg),117,x,,,,,x
Arcus T (800 kg),117,x,,,,,x
AS 22-2,117,x,,,,,
ASG 32 (800 kg),117,x,,,,,x
ASG 32 EL (800 kg),117,x,,,,,x
ASG 32 Mi (800 kg),117,x,,,,,x
ASW 22 24m,117,x,,,,,
ASW 22E 24m,117,x,,,,,
DG 808C Competition 18m,117,x,x,,,,
DG 808S 18m,117,x,x,,,,
HpH 304 MS Shark,117,x,x,,,,
HpH 304 S Shark,117,x,x,,,,
HpH 304 SJ Shark,117,x,x,,,,
HpH 304 TS Twin Shark (850 kg),117,x,,,,,
LS 10 18m,117,x,x,,,,
LS 10-st 18m,117,x,x,,,,
Nimbus 3 24.5m,117,x,,,,,
Nimbus 3D 25.6m,117,x,,,,,
Nimbus 3DM 25.6m,117,x,,,,,
Nimbus 3DT 25.6m,117,x,,,,,
Nimbus 3T 24.5m,117,x,,,,,
Ventus 2cx 18m,117,x,x,,,,
Ventus 2cxa FES 18m,117,x,x,,,,
Ventus 2cxM 18m,117,x,x,,,,
Ventus 2cxT 18m,117,x,x,,,,
Arcus (750 kg),116,x,,,,,x
ASH 25,116,x,,,,,
ASH 25 E,116,x,,,,,
ASH 25 M,116,x,,,,,
ASH 26,116,x,x,,,,
ASH 26 E,116,x,x,,,,
ASW 22 22m,116,x,,,,,
DG 800A/B 18m,116,x,x,,,,
DG 800LA 18m,116,x,x,,,,
DG 800S 18m,116,x,x,,,,
DG 808C Classic 18m,116,x,x,,,,
HpH 304 ES Shark,116,x,x,,,,
HpH 304 TS Twin Shark (800 kg),116,x,,,,,x
LAK-17B 18m,116,x,x,,,,
LAK-17B T 18m,116,x,x,,,,
LAK-20M 23m,116,x,,,,,
LAK-20T 23m,116,x,,,,,
Nimbus 3D 24.6m,116,x,,,,,
Nimbus 3DM 24.6m,116,x,,,,,
Nimbus 3DT 24.6m,116,x,,,,,
Ventus 2c 18m (525 kg),116,x,x,,,,
Ventus 2cM 18m (525 kg),116,x,x,,,,
Ventus 2cT 18m (525 kg),116,x,x,,,,
DG 600 18m,115,x,x,,,,
DG 600M 18m,115,x,x,,,,
LAK-17A 18m,115,x,x,,,,
LAK-17A T 18m,115,x,x,,,,
LAK-17B FES 18m,115,x,x,,,,
LAK-17C FES 18m,115,x,x,,,,
LS 6 18m,115,x,x,,,,
Nimbus 3 22.9m,115,x,,,,,
SB 14,115,x,x,,,,
AS 34 Me 18m,114,x,x,,,,
ASW 28 18m,114,x,x,,,,
ASW 28 E 18m,114,x,x,,,,
Discus 2c 18m,114,x,x,,,,
Discus 2cT 18m,114,x,x,,,,
Glasflügel 604 24m,114,x,,,,,
LAK-19 18m,114,x,x,,,,
LAK-19 T 18m,114,x,x,,,,
LS 5,114,x,,,,,
LS 6 17.5m,114,x,x,,,,
LS 8 18m (575 kg),114,x,x,,,,
LS 8T 18m (575 kg),114,x,x,,,,
LS 9,114,x,x,,,,
SZD-56-2 Diana 2,114,x,x,x,,,
AS 33 15m,113,x,x,x,,,
AS 33 Es 15m,113,x,x,x,,,
AS 33 Me 15m,113,x,x,x,,,
Discus 2cFES 18m,113,x,x,,,,
Duo Discus X (750 kg),113,x,,,,,x
Duo Discus XL (750 kg),113,x,,,,,x
Duo Discus XLT (750 kg),113,x,,,,,x
Duo Discus XT (750 kg),113,x,,,,,x
JS3 15m,113,x,x,x,,,
JS3 RES 15m,113,x,x,x,,,
JS3 TJ 15m,113,x,x,x,,,
LS 8 18m (525 kg),113,x,x,,,,
LS 8e 18m,113,x,x,,,,
LS 8T 18m (525 kg),113,x,x,,,,
SB 10,113,x,,,,,
SZD-56-2 Diana 2 FES,113,x,x,x,,,
Ventus 2a,113,x,x,x,,,
Ventus 2ax,113,x,x,x,,,
Ventus 2cxa 15m,113,x,x,x,,,
Ventus 3 Sport 15m,113,x,x,x,,,
Ventus 3E Sport 15m,113,x,x,x,,,
Ventus 3T Sport 15m,113,x,x,x,,,
Ventus c 17.6m,113,x,x,,,,
